[860949]: 1800188ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:721 CSpxAudioStreamSession::AddRecognizer
[860949]: 1800188ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x000001EA21A605F8; name='UnsupportedV2ServiceProperties'; value=''
[860949]: 1800188ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x000001EA21A605F8; name='IsCustomV1Endpoint'; value='1'
[860949]: 1800188ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x000001EA21A600B0
[860949]: 1800188ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x000001EA21A600B0, p=0x000001EA21A600B0, tot=1
[860949]: 1800188ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:160 recognizer_create_speech_recognizer_from_config
[860949]: 1800189ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x000001EA21A605F8
[860949]: 1800189ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x000001EA21A605F8, p=0x000001EA21A605F8, tot=3
[860949]: 1800189ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:180 CSpxHandleTable::StopTracking(h) h=0x000001EB06781B88
[860949]: 1800189ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:195 CSpxHandleTable::StopTracking(h) class=ISpxSpeechConfig, h=0x000001EB06781B88, p=0x000001EB06781B88, tot=0
[860949]: 1800189ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:180 CSpxHandleTable::StopTracking(h) h=0x000001EB06781B18
[860949]: 1800189ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:195 CSpxHandleTable::StopTracking(h) class=ISpxNamedProperties, h=0x000001EB06781B18, p=0x000001EB06781B18, tot=2
[6979]: 1800189ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:180 CSpxHandleTable::StopTracking(h) h=0xFFFFFFFFFFFFFFFF
[6979]: 1800189ms SPX_RETURN_ON_FAIL:  handle_helpers.h:52 hr = 0x21
[6979]: 1800189ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x000001EA21A605F8; name='SPEECH-RecoMode'; value=''
[6979]: 1800189ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x000001EB2D582518; name='SPEECH-RecoMode'; value='CONVERSATION'
[6979]: 1800189ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1116 CSpxAudioStreamSession::StartRecognitionAsync
[6979]: 1800190ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x000001EB2C9164B0
[6979]: 1800190ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x000001EB2C9164B0, p=0x000001EB2C9164B0, tot=1
[470870]: 1800190ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1119 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD started ***
[470870]: 1800190ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread Background with ID [68598ll]
[68598]: 1800192ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1176 CSpxAudioStreamSession::StartRecognizing
[68598]: 1800192ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1177 [000001EB2D582430]CSpxAudioStreamSession::StartRecognizing
[68598]: 1800192ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3584 [000001EB2D582430]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 0/0 => 4/1
[68598]: 1800192ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1219 [000001EB2D582430]CSpxAudioStreamSession::StartRecognizing:  Now WaitForPumpSetFormatStart ...
[68598]: 1800192ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3163 CSpxAudioStreamSession::StartAudioPump
[68598]: 1800192ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3164 [000001EB2D582430]CSpxAudioStreamSession::StartAudioPump:  RecognitionKind 4 | m_audioPump [000001EA21DF1890]
[68598]: 1800192ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1446 [000001EB2D582430]CSpxAudioStreamSession::FireSessionStartedEvent: ...
